category,material,material_cost,labour_hours,labour_rate,quality_score,craftsmanship_complexity,size_scale,season_demand_index,market_reference_price,selling_price
Blue Pottery & Ceramics,Porcelain Clay,819.8,43.4,180.0,3.7,2,1,1.31,13292.97,15280.15
Dhokra & Brass Craft,Bronze Alloy,1878.77,36.7,120.0,2.8,1,5,1.16,10225.21,8796.04
Blue Pottery & Ceramics,Quartz Powder Frit,2274.62,48.2,70.0,3.5,2,3,1.2,8698.87,8853.8
Dhokra & Brass Craft,Copper Brass Blend,716.65,58.8,180.0,4.2,2,2,0.94,19267.61,15391.49
Blue Pottery & Ceramics,Ceramic Glaze,855.9,16.7,120.0,3.5,2,2,1.26,4404.25,4478.24
Dhokra & Brass Craft,Bronze Alloy,1019.1,64.3,150.0,4.4,4,4,0.98,19835.23,16951.85
Folk Paintings,Cotton Canvas,916.42,65.2,150.0,2.6,4,5,1.2,20537.13,18652.66
Blue Pottery & Ceramics,Ceramic Glaze,1666.16,21.0,100.0,2.5,5,5,1.16,6590.78,6351.03
Folk Paintings,Tussar Silk Fabric,799.69,55.5,100.0,2.7,3,2,1.01,11683.43,9110.8
Blue Pottery & Ceramics,Ceramic Glaze,1681.7,30.4,85.0,3.5,1,4,1.01,6270.58,5638.21
Folk Paintings,Cotton Canvas,2140.05,64.5,120.0,3.9,4,4,1.35,18969.7,19805.27
Folk Paintings,Cotton Canvas,2073.46,69.0,70.0,2.9,5,1,1.34,13806.92,13574.01
Dhokra & Brass Craft,Bronze Alloy,1114.96,48.9,85.0,4.5,5,5,1.38,10213.45,11579.35
Blue Pottery & Ceramics,Porcelain Clay,2338.96,29.5,120.0,4.2,5,1,0.99,10288.18,9772.79
Handloom Textiles,Chanderi Cotton-Silk,1149.42,14.0,85.0,2.8,4,3,1.33,4210.96,4379.86
Handloom Textiles,Handspun Cotton,259.26,79.4,70.0,4.3,2,1,1.19,9598.48,9707.26
Carved Woodwork,Seasoned Teakwood,504.9,16.7,85.0,5.0,4,5,1.04,3348.46,3188.16
Blue Pottery & Ceramics,Quartz Powder Frit,1396.55,46.1,120.0,3.1,2,4,0.96,10669.97,8756.09
Carved Woodwork,Sheesham Wood,200.67,49.5,100.0,3.2,2,5,1.13,8215.32,7602.95
Terracotta & Clay,Black Clay,844.56,59.2,85.0,4.4,2,4,1.33,8080.27,10039.87
Terracotta & Clay,Terracotta Red Clay,1072.91,28.6,120.0,3.5,1,5,1.13,5912.69,6273.93
Terracotta & Clay,Terracotta Red Clay,218.18,11.5,85.0,3.4,5,3,1.29,1868.25,2282.82
Terracotta & Clay,Black Clay,2398.15,66.5,150.0,3.3,5,1,1.23,19333.05,22718.77
Terracotta & Clay,Terracotta Red Clay,2344.51,49.0,180.0,3.7,2,2,1.39,15351.2,21258.68
Folk Paintings,Cotton Canvas,600.95,65.5,85.0,3.8,4,1,1.1,11843.42,10564.14
Folk Paintings,Handmade Vasli Paper,458.8,31.2,100.0,4.2,3,4,1.19,6584.99,6267.4
Blue Pottery & Ceramics,Quartz Powder Frit,1820.46,60.4,180.0,4.8,3,2,1.05,20434.86,18682.2
Carved Woodwork,Sheesham Wood,1125.24,32.7,100.0,4.5,1,5,1.21,6691.75,7198.86
Folk Paintings,Handmade Vasli Paper,2281.2,51.8,85.0,3.1,1,3,1.31,11229.46,10596.28
Handloom Textiles,Handspun Cotton,514.76,47.5,120.0,3.2,1,5,1.27,9788.25,9603.39
Folk Paintings,Cotton Canvas,2151.34,36.5,85.0,3.0,2,4,0.91,9246.76,6695.54
Dhokra & Brass Craft,Bronze Alloy,580.63,30.6,100.0,3.8,5,1,1.35,7053.72,7632.42
Blue Pottery & Ceramics,Porcelain Clay,1909.25,40.2,200.0,4.5,2,2,1.06,15321.84,14374.45
Dhokra & Brass Craft,Copper Brass Blend,1926.09,61.9,180.0,3.1,1,3,1.09,21268.32,17682.91
Folk Paintings,Handmade Vasli Paper,248.65,7.5,120.0,3.0,3,4,1.09,2113.52,1750.05
Folk Paintings,Tussar Silk Fabric,588.87,46.6,120.0,3.9,5,1,1.09,12361.74,10996.22
Terracotta & Clay,Natural Alluvial Clay,1827.2,69.4,85.0,2.7,4,2,0.96,11589.3,10463.37
Blue Pottery & Ceramics,Quartz Powder Frit,1006.2,61.3,150.0,4.5,1,5,0.9,14995.76,12951.83
Terracotta & Clay,Natural Alluvial Clay,2215.01,14.3,180.0,4.7,2,1,1.14,6584.89,7691.43
Carved Woodwork,Sheesham Wood,1388.65,55.2,200.0,3.4,1,3,1.06,18922.62,16795.67
Folk Paintings,Tussar Silk Fabric,2338.05,70.0,120.0,2.8,1,5,1.23,18039.92,15438.71
Folk Paintings,Cotton Canvas,1635.16,68.4,120.0,3.6,1,4,1.29,16536.51,16163.97
Terracotta & Clay,Black Clay,549.79,44.3,70.0,4.6,2,1,1.05,5019.84,5267.77
Folk Paintings,Handmade Vasli Paper,2371.51,21.5,180.0,4.2,4,2,1.1,11983.7,9836.96
Blue Pottery & Ceramics,Porcelain Clay,1787.94,66.2,70.0,2.6,3,3,1.32,10339.32,10876.28
Handloom Textiles,Chanderi Cotton-Silk,1371.2,3.0,120.0,4.2,5,3,0.91,3246.0,2681.85
Terracotta & Clay,Black Clay,1548.12,57.6,100.0,4.7,1,5,0.94,9591.91,9816.36
Folk Paintings,Handmade Vasli Paper,829.55,69.1,150.0,4.0,5,3,1.27,22389.1,21923.11
Carved Woodwork,Seasoned Teakwood,87.05,3.7,70.0,3.2,4,1,1.13,602.13,559.94
Handloom Textiles,Handspun Cotton,1303.97,4.4,85.0,4.8,1,3,1.26,2642.8,2950.27
Terracotta & Clay,Terracotta Red Clay,576.55,40.5,150.0,3.8,3,3,1.14,9561.6,10357.06
Terracotta & Clay,Terracotta Red Clay,677.66,72.3,85.0,3.7,2,4,1.12,9381.85,10222.72
Handloom Textiles,Chanderi Cotton-Silk,1534.32,5.6,85.0,3.1,2,3,1.16,3317.03,3039.43
Carved Woodwork,Rosewood,1193.36,25.9,100.0,2.5,3,3,1.04,6308.75,5277.82
Blue Pottery & Ceramics,Quartz Powder Frit,2486.92,40.1,120.0,3.6,4,2,1.2,12262.19,13015.71
Carved Woodwork,Seasoned Teakwood,2495.73,79.7,180.0,3.2,2,1,1.02,26862.56,22698.27
Handloom Textiles,Chanderi Cotton-Silk,1832.05,19.3,100.0,3.5,5,4,1.29,7053.84,7157.3
Blue Pottery & Ceramics,Quartz Powder Frit,1463.99,72.9,150.0,3.7,3,2,0.94,19962.37,16257.96
Terracotta & Clay,Terracotta Red Clay,753.11,28.0,100.0,4.4,2,2,1.18,4885.53,6098.19
Folk Paintings,Cotton Canvas,2300.98,18.2,200.0,4.2,5,2,1.37,11881.96,12938.91
Terracotta & Clay,Natural Alluvial Clay,1954.71,23.4,70.0,4.3,5,5,1.21,5613.61,6768.98
Handloom Textiles,Mulberry Silk,2065.54,48.0,100.0,3.8,4,1,1.19,12357.97,12301.15
Blue Pottery & Ceramics,Ceramic Glaze,1074.46,51.4,200.0,3.6,3,5,1.33,18280.68,19918.37
Handloom Textiles,Handspun Cotton,2059.2,29.7,150.0,4.4,3,2,1.38,11236.99,12981.73
Folk Paintings,Cotton Canvas,589.48,41.6,70.0,5.0,5,5,1.06,7002.96,5729.0
Dhokra & Brass Craft,Copper Brass Blend,505.4,14.2,180.0,4.0,3,3,1.14,5456.95,4794.75
Folk Paintings,Handmade Vasli Paper,506.92,65.6,200.0,3.2,5,3,1.13,27253.84,24246.18
Blue Pottery & Ceramics,Porcelain Clay,1334.53,11.7,70.0,3.2,5,3,1.09,3768.68,3463.03
Blue Pottery & Ceramics,Porcelain Clay,1184.29,16.1,150.0,3.8,1,4,0.95,5290.96,4512.79
Folk Paintings,Handmade Vasli Paper,398.39,26.3,180.0,3.1,5,1,1.17,10264.78,9048.02
Terracotta & Clay,Terracotta Red Clay,910.48,46.2,70.0,3.6,4,2,1.17,6216.72,6988.5
Dhokra & Brass Craft,Bronze Alloy,2182.5,54.0,200.0,4.9,4,2,1.25,24147.45,24048.19
Handloom Textiles,Mulberry Silk,215.53,40.0,200.0,2.9,4,5,1.12,14787.95,12656.96
Terracotta & Clay,Black Clay,2458.91,74.2,70.0,3.1,1,5,1.06,10044.44,10480.04
Folk Paintings,Handmade Vasli Paper,543.4,32.7,180.0,3.6,2,5,0.96,11315.74,8379.29
Handloom Textiles,Handspun Cotton,2482.09,53.7,70.0,2.6,3,4,1.21,10765.88,10617.64
Terracotta & Clay,Terracotta Red Clay,2153.0,74.4,70.0,4.9,1,4,1.26,9661.31,12108.55
Blue Pottery & Ceramics,Porcelain Clay,463.62,40.5,150.0,4.9,1,1,1.12,9611.77,10121.84
Carved Woodwork,Seasoned Teakwood,2228.36,6.1,120.0,3.1,3,1,1.14,4936.4,4485.59
Blue Pottery & Ceramics,Porcelain Clay,1945.07,23.3,120.0,2.7,5,2,1.12,8296.87,7745.75
Terracotta & Clay,Terracotta Red Clay,642.81,49.8,120.0,4.3,3,3,1.27,9514.54,11652.46
Carved Woodwork,Sheesham Wood,1474.31,45.6,100.0,4.9,5,5,1.08,10937.19,11052.25
Blue Pottery & Ceramics,Porcelain Clay,2311.21,18.0,70.0,3.8,4,4,1.31,5999.63,6694.4
Dhokra & Brass Craft,Bronze Alloy,377.47,50.7,150.0,4.3,3,3,1.06,14228.75,11918.23
Terracotta & Clay,Black Clay,1281.03,44.9,85.0,2.7,3,2,0.99,7327.7,6969.07
Carved Woodwork,Seasoned Teakwood,1664.55,33.0,85.0,3.7,5,5,1.33,8101.06,9392.68
Dhokra & Brass Craft,Recycled Bell Metal Brass,335.8,56.4,85.0,4.1,3,2,1.05,9143.87,7787.31
Folk Paintings,Handmade Vasli Paper,1504.92,9.9,150.0,3.8,2,5,1.18,5262.26,4770.73
Blue Pottery & Ceramics,Ceramic Glaze,867.51,10.3,100.0,3.2,5,4,1.27,3320.64,3571.42
Blue Pottery & Ceramics,Ceramic Glaze,1748.93,26.2,70.0,4.2,5,3,1.01,6270.13,5862.19
Carved Woodwork,Rosewood,2429.02,16.5,70.0,2.7,4,5,1.03,6236.19,5250.83
Blue Pottery & Ceramics,Porcelain Clay,817.52,17.0,120.0,2.8,5,4,1.1,5000.66,4844.84
Handloom Textiles,Chanderi Cotton-Silk,1421.41,43.6,120.0,3.3,2,2,1.01,10978.13,8978.69
Dhokra & Brass Craft,Recycled Bell Metal Brass,2250.13,19.2,150.0,2.5,4,5,1.36,9542.04,9234.43
Blue Pottery & Ceramics,Quartz Powder Frit,404.77,52.6,180.0,4.4,5,1,1.03,17277.35,16088.61
Handloom Textiles,Mulberry Silk,1137.9,23.6,100.0,4.7,4,3,1.1,6296.22,6136.53
Handloom Textiles,Mulberry Silk,702.17,39.9,180.0,4.0,3,4,1.09,13600.19,12945.69
Dhokra & Brass Craft,Bronze Alloy,1769.58,25.4,150.0,2.6,1,1,1.15,9080.77,7672.25
Blue Pottery & Ceramics,Ceramic Glaze,1396.92,3.6,100.0,3.4,2,1,1.12,2705.66,2414.9
Terracotta & Clay,Terracotta Red Clay,1098.57,77.0,100.0,4.7,5,5,0.99,13747.77,14189.82
Carved Woodwork,Sheesham Wood,594.8,49.5,70.0,4.6,4,5,1.23,7064.05,8028.01
Terracotta & Clay,Natural Alluvial Clay,394.07,45.9,85.0,4.2,2,1,1.37,5906.41,8020.74
Carved Woodwork,Seasoned Teakwood,1275.12,77.0,85.0,4.0,4,2,1.02,13607.01,12246.47
Dhokra & Brass Craft,Bronze Alloy,938.73,50.2,70.0,3.2,1,5,1.11,7246.82,5807.32
Handloom Textiles,Chanderi Cotton-Silk,2102.96,14.4,70.0,4.6,5,4,1.31,5833.05,6461.82
Terracotta & Clay,Terracotta Red Clay,1947.71,35.2,70.0,2.9,1,4,1.02,5790.37,5631.76
Carved Woodwork,Sheesham Wood,1541.06,11.1,85.0,3.5,4,1,1.22,4323.13,4255.22
Handloom Textiles,Mulberry Silk,1468.18,66.3,180.0,4.2,1,5,1.35,21108.43,23595.45
Terracotta & Clay,Terracotta Red Clay,1854.23,10.2,120.0,3.9,1,2,1.05,4040.18,4015.12
Carved Woodwork,Seasoned Teakwood,1261.21,51.5,70.0,4.2,5,1,1.24,8820.01,9418.71
Dhokra & Brass Craft,Recycled Bell Metal Brass,1263.94,32.5,85.0,4.6,1,1,1.12,6553.03,6213.74
Dhokra & Brass Craft,Bronze Alloy,2493.76,24.6,100.0,2.9,5,1,1.36,9597.91,9974.87
Handloom Textiles,Handspun Cotton,2131.29,62.4,200.0,3.3,3,5,0.99,25204.48,20383.33
Dhokra & Brass Craft,Recycled Bell Metal Brass,855.7,60.3,100.0,3.6,5,4,0.98,13341.04,10969.04
Dhokra & Brass Craft,Recycled Bell Metal Brass,1322.51,53.1,120.0,2.9,2,2,0.96,13119.14,9665.89
Blue Pottery & Ceramics,Ceramic Glaze,2460.31,54.4,200.0,4.8,2,5,0.96,20544.08,18804.09
Dhokra & Brass Craft,Bronze Alloy,2243.41,78.0,70.0,3.6,5,5,1.28,14925.36,14786.81
Terracotta & Clay,Natural Alluvial Clay,1738.77,63.0,85.0,2.9,3,5,1.31,10197.29,12399.62
Terracotta & Clay,Natural Alluvial Clay,539.44,11.5,200.0,3.7,3,5,1.05,4081.69,4355.67
Dhokra & Brass Craft,Recycled Bell Metal Brass,1756.58,70.1,200.0,4.4,5,3,1.39,30567.12,33627.32
Carved Woodwork,Sheesham Wood,2340.93,43.3,150.0,2.7,3,3,1.16,14733.91,13581.53
Handloom Textiles,Mulberry Silk,1938.78,60.5,70.0,4.1,1,5,0.94,9723.7,8430.32
Terracotta & Clay,Black Clay,701.12,48.7,200.0,2.8,3,3,1.32,15009.11,17939.29
Handloom Textiles,Handspun Cotton,321.96,5.6,200.0,3.4,4,4,1.07,2595.53,2316.99
Folk Paintings,Cotton Canvas,1380.46,67.7,150.0,3.3,4,2,0.94,22148.08,16288.02
Handloom Textiles,Chanderi Cotton-Silk,1420.82,74.7,180.0,3.9,2,3,1.25,24530.25,25935.23
Dhokra & Brass Craft,Copper Brass Blend,2031.72,16.8,100.0,2.5,2,2,0.94,6328.48,4636.75
Dhokra & Brass Craft,Copper Brass Blend,1689.96,9.1,120.0,2.9,2,3,1.13,4743.24,4123.78
Terracotta & Clay,Terracotta Red Clay,494.48,60.1,85.0,4.8,4,1,1.12,8404.47,10570.91
Folk Paintings,Cotton Canvas,2406.55,49.4,85.0,3.0,5,3,1.26,13211.1,12776.24
Terracotta & Clay,Black Clay,1591.78,24.8,200.0,4.6,5,5,1.33,10237.16,14004.47
Dhokra & Brass Craft,Copper Brass Blend,1893.83,51.6,180.0,4.7,5,2,1.13,21664.8,20681.19
Carved Woodwork,Seasoned Teakwood,1625.06,25.1,200.0,3.7,3,5,0.91,11080.64,9175.49
Carved Woodwork,Seasoned Teakwood,1117.91,53.2,120.0,3.0,4,1,1.02,13053.32,11835.47
Folk Paintings,Handmade Vasli Paper,171.52,12.5,70.0,4.2,4,5,0.95,2009.32,1603.05
Carved Woodwork,Rosewood,130.6,20.2,70.0,4.0,2,1,1.13,2463.64,2443.09
Handloom Textiles,Chanderi Cotton-Silk,693.45,75.4,150.0,2.7,2,1,1.17,19805.69,18181.27
Dhokra & Brass Craft,Bronze Alloy,2329.59,17.2,120.0,3.9,1,4,1.11,7150.57,6766.39
Carved Woodwork,Sheesham Wood,2201.28,15.2,70.0,3.0,1,1,1.18,4971.39,4632.18
Blue Pottery & Ceramics,Porcelain Clay,2118.75,20.6,180.0,3.7,5,4,0.96,10196.81,8801.54
Blue Pottery & Ceramics,Quartz Powder Frit,685.2,67.4,100.0,3.7,2,2,1.11,11434.81,10994.74
Dhokra & Brass Craft,Copper Brass Blend,213.9,18.3,150.0,3.9,1,4,1.39,4815.61,5241.86
Blue Pottery & Ceramics,Ceramic Glaze,916.91,30.6,200.0,4.0,3,1,1.06,11329.43,11144.21
Handloom Textiles,Mulberry Silk,1134.48,20.3,70.0,2.6,2,3,0.95,4216.54,3187.5
Carved Woodwork,Rosewood,333.28,66.3,200.0,3.5,5,1,1.15,24637.82,23844.82
Folk Paintings,Tussar Silk Fabric,2134.02,57.4,70.0,3.5,5,4,1.1,12304.04,11003.6
Terracotta & Clay,Black Clay,1971.68,61.4,200.0,2.6,3,5,0.97,20486.79,18218.78
Dhokra & Brass Craft,Bronze Alloy,1852.51,36.3,200.0,2.5,1,5,1.12,14830.61,12775.45
Handloom Textiles,Chanderi Cotton-Silk,1637.45,11.3,200.0,4.3,4,3,1.06,7015.41,6262.99
Handloom Textiles,Chanderi Cotton-Silk,310.0,10.3,120.0,4.4,5,4,1.07,2898.75,2713.99
Folk Paintings,Handmade Vasli Paper,374.97,42.3,150.0,5.0,2,1,1.0,11827.15,10242.26
Blue Pottery & Ceramics,Porcelain Clay,233.1,49.4,180.0,4.7,2,4,1.4,14052.65,18560.89
Dhokra & Brass Craft,Bronze Alloy,1927.2,48.2,120.0,5.0,5,4,0.92,14940.45,12466.88
Dhokra & Brass Craft,Bronze Alloy,1621.66,15.4,100.0,2.6,5,1,1.36,6125.72,6202.45
Handloom Textiles,Handspun Cotton,1850.73,57.6,200.0,4.0,3,3,1.12,23064.51,21658.93
Handloom Textiles,Chanderi Cotton-Silk,2110.31,25.9,150.0,2.8,5,4,1.2,11241.21,10025.27
Blue Pottery & Ceramics,Quartz Powder Frit,2405.91,51.3,100.0,3.6,1,2,0.95,11077.79,9594.71
Handloom Textiles,Handspun Cotton,2312.63,46.8,120.0,4.4,5,2,1.25,14866.18,16414.21
Dhokra & Brass Craft,Bronze Alloy,2111.37,37.5,150.0,3.5,4,2,1.3,14389.65,15128.54
Blue Pottery & Ceramics,Ceramic Glaze,684.65,28.9,85.0,3.5,4,3,1.1,5277.13,4942.26
Handloom Textiles,Handspun Cotton,1959.27,66.3,100.0,3.4,2,3,1.02,14172.3,11923.66
Folk Paintings,Tussar Silk Fabric,736.74,68.8,85.0,3.8,1,1,1.03,11062.36,8937.1
Blue Pottery & Ceramics,Ceramic Glaze,1786.25,37.7,180.0,4.5,3,1,1.34,13801.32,17262.24
Terracotta & Clay,Black Clay,893.88,21.1,70.0,3.3,4,4,1.12,3556.32,3889.72
Dhokra & Brass Craft,Recycled Bell Metal Brass,2416.88,4.1,100.0,3.1,1,4,1.19,4600.75,3938.4
Blue Pottery & Ceramics,Ceramic Glaze,1739.82,67.2,180.0,3.9,4,2,1.08,23244.18,21513.77
Handloom Textiles,Handspun Cotton,839.35,13.9,70.0,4.3,1,4,1.23,2854.45,2954.1
Folk Paintings,Handmade Vasli Paper,2442.11,44.0,150.0,4.8,2,5,1.27,15914.11,17111.79
Terracotta & Clay,Black Clay,2033.78,61.8,70.0,2.6,4,4,1.2,9539.67,10470.7
Blue Pottery & Ceramics,Ceramic Glaze,1944.4,41.5,180.0,4.9,1,4,1.04,13839.17,13060.15
Terracotta & Clay,Black Clay,495.54,43.8,85.0,5.0,5,3,1.39,6591.47,9443.71
Folk Paintings,Handmade Vasli Paper,714.78,67.6,120.0,3.1,1,4,1.2,14828.99,13173.82
Handloom Textiles,Mulberry Silk,984.13,55.5,150.0,3.3,5,1,1.25,17454.62,18134.83
Handloom Textiles,Mulberry Silk,1054.72,5.8,180.0,4.9,2,3,1.36,3462.89,4060.4
Terracotta & Clay,Black Clay,1372.81,66.4,100.0,4.9,3,4,1.15,11518.41,14098.49
Dhokra & Brass Craft,Bronze Alloy,1269.21,58.6,70.0,3.4,3,3,1.39,9574.18,10865.57
Terracotta & Clay,Terracotta Red Clay,561.32,21.5,200.0,4.1,1,1,1.27,6380.48,7789.39
Terracotta & Clay,Natural Alluvial Clay,890.26,28.4,200.0,4.7,1,2,1.07,8623.47,9419.47
Folk Paintings,Cotton Canvas,994.27,27.4,150.0,3.2,3,3,1.1,9391.86,7839.17
Handloom Textiles,Mulberry Silk,697.31,12.8,200.0,3.7,2,4,1.39,5374.56,6151.7
Handloom Textiles,Handspun Cotton,1429.9,32.2,120.0,2.8,3,2,1.39,9131.98,9863.54
Handloom Textiles,Mulberry Silk,474.74,22.2,200.0,3.4,3,1,1.08,8477.93,7530.06
Dhokra & Brass Craft,Copper Brass Blend,1506.18,43.4,200.0,3.3,1,5,1.2,16578.01,15446.81
Dhokra & Brass Craft,Bronze Alloy,1998.34,51.4,85.0,2.5,2,2,1.23,10856.31,9589.17
Blue Pottery & Ceramics,Quartz Powder Frit,1176.89,55.7,100.0,3.0,5,3,1.36,11807.06,12963.32
Blue Pottery & Ceramics,Quartz Powder Frit,2454.09,50.3,150.0,2.7,3,2,1.35,16098.53,18705.98
Carved Woodwork,Rosewood,113.76,53.6,120.0,3.7,1,4,1.07,9965.92,9254.12
Blue Pottery & Ceramics,Porcelain Clay,161.43,13.9,150.0,2.6,5,1,0.91,3931.25,3300.75
Dhokra & Brass Craft,Copper Brass Blend,2041.08,64.4,150.0,3.6,2,2,0.94,19950.34,15511.61
Blue Pottery & Ceramics,Quartz Powder Frit,1340.52,67.4,85.0,4.0,2,2,1.31,10887.06,12576.62
Blue Pottery & Ceramics,Quartz Powder Frit,1323.16,21.5,150.0,2.6,4,3,1.07,7640.91,6894.97
Blue Pottery & Ceramics,Porcelain Clay,735.03,5.2,85.0,4.9,4,3,1.33,1977.41,2243.73
Dhokra & Brass Craft,Bronze Alloy,2155.79,41.1,200.0,3.0,1,5,0.93,16886.6,12251.49
Carved Woodwork,Seasoned Teakwood,2171.44,38.8,180.0,2.9,5,5,1.12,16594.23,15373.74
Blue Pottery & Ceramics,Quartz Powder Frit,1199.15,75.5,100.0,3.3,5,1,1.19,15311.01,16024.09
Blue Pottery & Ceramics,Quartz Powder Frit,2088.68,6.8,70.0,3.7,1,4,1.32,3770.08,4339.96
Dhokra & Brass Craft,Copper Brass Blend,2239.01,39.2,100.0,2.9,1,4,0.91,10023.79,7434.24
Carved Woodwork,Sheesham Wood,2422.23,69.4,200.0,2.8,1,5,1.12,24820.15,22877.04
Folk Paintings,Handmade Vasli Paper,1879.38,47.7,180.0,3.2,3,3,1.15,19256.3,16571.3
Handloom Textiles,Handspun Cotton,1500.86,8.1,70.0,3.1,4,4,1.25,3722.15,3593.6
Handloom Textiles,Handspun Cotton,1218.3,76.6,150.0,2.7,3,3,1.26,21921.82,21779.6
Folk Paintings,Tussar Silk Fabric,746.61,65.2,150.0,3.7,2,5,1.32,18526.83,19290.54
Folk Paintings,Tussar Silk Fabric,2094.65,68.5,150.0,3.1,4,3,1.12,23749.73,19557.63
Carved Woodwork,Rosewood,1956.49,46.9,70.0,2.9,5,4,1.03,9496.58,8103.3
Blue Pottery & Ceramics,Porcelain Clay,1094.19,63.3,100.0,4.2,5,1,0.92,12992.33,11100.52
Carved Woodwork,Sheesham Wood,544.24,28.7,200.0,4.1,3,5,0.93,10478.97,8237.58
Carved Woodwork,Seasoned Teakwood,709.35,48.3,70.0,3.9,1,2,1.24,6227.56,6635.48
Handloom Textiles,Handspun Cotton,2286.73,59.9,85.0,3.5,1,5,1.38,11620.71,12507.04
Terracotta & Clay,Terracotta Red Clay,2024.57,79.7,180.0,2.8,3,3,0.91,23532.69,19851.27
Carved Woodwork,Seasoned Teakwood,2276.91,58.5,180.0,2.7,1,2,1.23,19498.52,18375.61
Handloom Textiles,Mulberry Silk,1265.81,11.5,200.0,3.3,3,4,0.97,6151.02,4931.1
Handloom Textiles,Handspun Cotton,2179.29,25.1,85.0,5.0,5,1,0.99,8086.48,7227.68
Terracotta & Clay,Black Clay,1107.27,26.8,180.0,4.8,5,3,1.27,9267.61,12018.95
Handloom Textiles,Chanderi Cotton-Silk,1657.07,57.9,85.0,2.6,4,5,1.38,11841.43,12689.13
Blue Pottery & Ceramics,Porcelain Clay,1186.71,68.2,100.0,3.7,5,5,1.11,14011.74,13636.79
Terracotta & Clay,Black Clay,1970.88,55.4,70.0,4.8,5,3,1.18,9138.88,11166.82
Terracotta & Clay,Natural Alluvial Clay,1390.03,27.9,150.0,3.2,5,4,1.27,8710.98,10798.41
Folk Paintings,Cotton Canvas,2159.59,48.8,120.0,3.8,4,4,0.96,15389.93,12069.97
Handloom Textiles,Handspun Cotton,945.08,8.1,200.0,3.5,4,2,1.2,4617.14,4608.28
Handloom Textiles,Chanderi Cotton-Silk,2416.29,55.7,120.0,3.7,5,2,1.14,17063.04,16436.41
Handloom Textiles,Chanderi Cotton-Silk,569.04,76.4,70.0,3.5,4,2,1.04,10650.67,9515.36
Terracotta & Clay,Terracotta Red Clay,463.9,27.1,120.0,3.1,1,1,1.14,4877.12,4982.97
Blue Pottery & Ceramics,Quartz Powder Frit,2010.05,44.4,100.0,4.6,3,4,1.2,10384.58,11044.5
Blue Pottery & Ceramics,Quartz Powder Frit,1808.25,69.3,85.0,4.7,1,3,1.02,11317.16,10284.7
Terracotta & Clay,Terracotta Red Clay,2203.52,35.2,150.0,3.6,2,2,1.35,10289.84,13328.03
Blue Pottery & Ceramics,Porcelain Clay,1317.78,52.6,150.0,5.0,3,4,1.15,14824.53,16069.88
Dhokra & Brass Craft,Bronze Alloy,129.37,49.5,150.0,3.4,2,3,1.13,12880.2,11600.05
Folk Paintings,Handmade Vasli Paper,779.85,65.3,100.0,4.9,3,3,1.2,13450.12,13274.93
Dhokra & Brass Craft,Recycled Bell Metal Brass,1091.88,45.1,70.0,3.8,2,5,1.36,7244.34,7403.26
Handloom Textiles,Chanderi Cotton-Silk,1938.48,77.0,120.0,4.0,2,1,1.12,18444.49,18211.89
Carved Woodwork,Rosewood,1035.42,76.4,85.0,3.6,3,3,1.35,12555.31,14105.12
Dhokra & Brass Craft,Bronze Alloy,408.96,41.3,85.0,2.6,2,3,1.25,6682.68,6200.28
Carved Woodwork,Rosewood,428.08,3.7,150.0,5.0,1,2,1.19,1496.74,1595.54
Handloom Textiles,Chanderi Cotton-Silk,535.1,36.0,70.0,3.2,3,4,1.16,5270.05,4869.3
Terracotta & Clay,Terracotta Red Clay,2410.15,48.4,120.0,3.5,1,4,1.07,10786.32,11521.04
Terracotta & Clay,Terracotta Red Clay,1890.66,72.8,200.0,4.2,3,5,1.3,23647.82,31023.38
Carved Woodwork,Sheesham Wood,1687.18,35.8,85.0,4.6,1,4,1.25,7201.7,7978.24
Terracotta & Clay,Natural Alluvial Clay,1775.84,59.0,180.0,4.7,4,3,1.1,18593.76,21821.62
Carved Woodwork,Sheesham Wood,767.53,16.6,85.0,3.1,4,1,1.39,3790.64,4185.75
Handloom Textiles,Handspun Cotton,775.88,15.3,180.0,3.6,2,5,1.16,5824.3,5497.43
Terracotta & Clay,Black Clay,1243.35,74.7,100.0,4.0,5,1,0.99,13614.61,13316.61
Terracotta & Clay,Terracotta Red Clay,1270.34,4.5,150.0,4.5,1,4,0.98,2553.26,2494.01
Folk Paintings,Handmade Vasli Paper,1996.55,12.8,180.0,3.8,5,3,1.18,8601.1,8126.86
Handloom Textiles,Mulberry Silk,348.77,24.4,180.0,3.3,2,4,1.06,7822.27,6708.4
Handloom Textiles,Handspun Cotton,1134.75,37.8,200.0,3.7,3,5,0.96,14998.44,12244.05
Folk Paintings,Cotton Canvas,1814.25,36.7,85.0,3.8,2,1,0.98,8683.4,6768.66
Handloom Textiles,Chanderi Cotton-Silk,1272.27,29.1,200.0,5.0,4,5,1.16,12766.09,13300.64
Dhokra & Brass Craft,Bronze Alloy,917.96,53.4,120.0,2.7,4,3,1.02,13626.29,10448.02
Folk Paintings,Cotton Canvas,387.78,8.6,180.0,2.8,3,5,1.17,3561.84,3109.06
Dhokra & Brass Craft,Copper Brass Blend,100.0,63.1,150.0,2.6,5,5,1.3,18532.19,18743.3
Handloom Textiles,Handspun Cotton,932.57,26.0,120.0,3.1,1,2,0.91,6382.8,4757.01
